Speaker1,Speaker2
it can be .,it happened to you before ?
they go . john . they go .,what s wrong ?
okay .,what s her name ?
not if you don t want to .,i do .
i got a pretty good guess .,that guy who got shot 
i m really only equipped to take orders ,well can you connect me to someone else ?
let s go home .,but . . .
how about some steak sauce ?,no problem . oh boy !
give me the keys !,you re not going to drive !
let s meet tonight okay ?,where ?
what if you don t make it ?,i ll make it .
yeah .,and what do i do with him ?
be careful .,i m trying .
wait ! wait !,what ?
you ll get ich killed .,no one s keeping him here .
the letter i sent .,the letter he sent .
i m sorry .,you were never late before i was worried .
how do you like that one ?,oh she s a beauty .
that only leaves three .,plenty .
you re back .,it s monday morning .
no .,or arrived with her .
paul are you there ?,yes thank you mr . president .
how d you get him to say yes ?,i told him you looked like me .
 gold crowns .,that s not a lot .
yeah . a long time ago .,they re harder to do than they look .
trip you fuckin asshole .,what ?
where do you feel like going ?,i don t know . wherever you want .
he s got my grandson sanchez .,you be careful .
are we gonna keep going with this game ?,yes .
good morning treves .,good morning sir .
i got a way we make everybody happy .,yeah .
alice . . .,mom just this once give it a rest .
hey partner . grab a cup .,i got to write my report first .
will you buy the sheep for me ?,where will you keep them ?
i pay my debts .,you do ?
are you okay ?,can you knock ?
will be .,you ain t nothing but an old fool .
how re these ?,they ll do nicely .
katherine ? . . . katherine who ?,she s my daughter .
no .,do you like porno movies ?
what re we going to do ?, . . .i dunno .
what was that ?,it s too tight .
hey hey there s a rent .,he s not gonna want us .
one . in case . . .,don t even say it .
you ready on shore ?,we re ready .
come on ! come on !,what happened ?
i saw a man die .,what do you mean ?
relation ?,i m her sister .
excuse me miss ?,what !
playing .,tell me does your daddy ever hit you ?
no .,get in .
did they follow you ?,i wasn t looking .
are you ready ?,hello bobo . how are you tonight ?
yes sir .,what s that ?
what do you think ?,can t you get him ?
are you hit ?,no . i m okay .
i doubt that .,crash i get wet just thinking about you .
no no i see . . .,that in an act of . . .
hence the word remarried .,my wife s dead .
gimme that .,you sure ?
why do they go to war ?,to preserve their way of life .
yes .,how did you know ?
you cannot die .,would that marcus had lived .
holy shit . . .,puffy get over here .
she has no real grip on reality .,does anybody ?
and ?,i changed my mind .
it had this red spot on its back .,green spot .
no .,all right then . it s your secret .
it is not !,it is too ! now you passed it !
it s raymond .,where are you ?
what are you doing up so early ?,i couldn t sleep last night .
do you know my first name ?,no . what is it ? tell me .
are you married ?,no . are you proposing ?
thanks . good night mrs . mitchell .,good night john .
don t start alright .,alright . why so pissed ?
what ? what ?,jesus ! the camera hurry !
italian ?,i m sorry .
it s saturday .,you got in late last night .
what ? wh,because they re coming right at us .
that s my point ., u what s u your point .
you ve got to stop her .,what can i do ?
so what ?,they re not that jewish .
there were rats dad .,rats ?
coming ?,what use am i ?
hi . this is jack .,so what are you doing tonight jack ?
do you think i m a fool ?,what ?
i think we re lost .,you have a map .
right . mars .,that a problem ?
i want to buy you a drink .,thanks franky .
everybody knows ,who brought you here ?
character .,yeah . sure sure .
thanks .,you re welcome .
can i ask you something ?,sure jimmy .
fine .,like japanese food .
how long do you have to go ?, weeks .
somebody did that to him .,i think he did it to himself .
you re happy aren t you ?,la de da da . . .
i think he s or .,you gonna talk to him ?
i ll go .,jeanne no . . .
trust leonardo . . . .,wha . . . . .
no .,where s elvis ? !
what ?,did you ?
yes .,did she throw up ?
where did you sleep ?,i didn t .
how s the book ?,it ll be out later this year .
is that the money ?,yeah that s it .
mr . kent could i ask you something ?,sure .
what do you care ?,i don t but . . .
huh ?,this is eve harrington .
the one where you re that jewel thief .,i never played a jewel thief .
but you love me don t you ?,yeah . come on charlie turn it off .
that goes double for me .,i don t want to live any more .
actually in this dream i was your mother .,so you had a nightmare .
the tenth s out .,what ?
you better go .,hell no .
do you have to work tonight ?,no .
i admire you .,why ?
just stop .,just giving the facts .
any idea where it is ?, little place called williams why ? 
throw your weapon detective ! now !,what did you say ?
it was fun wasn t it ?,it was the best kid
a black bull came .,a black bull !
and my nose . . .,well yes your nose is . very .
well you should .,what are you doing ?
well is it ?,what ?
what s it to you ?,can i use some ?
doesn t register .,got a wife named angie .
you don t think so ? i do .,you were great .
i ll take the whole tin .,it s three thousand dollars !
it makes me fear her .,i can t understand that .
excuse me ?,you heard me .
is it about my teeth ?,yes .
when are you going to call them ?,about what ?
you hear that ?,yes i hear it .
right .,then it s a deal .
as a matter of fact ,sir ?
help me grace help . . .,like you helped her jake ?
hello cobb .,hello paden . how ya doing ?
yes ! hi .,am i interrupting anything ?
which is ?,that they re lying .
 . . .this time .,yes .
 cos i know you wear purple underwear .,what s that supposed to mean ?
gimme this god . . ., . . . damn phone .
bunch of savages in this town .,that s what i said .
what s the problem ?,i m doing the best i can !
are you getting out much ?,no .
isn t it beautiful ? ! !,it s grand !
find her again .,no this is wasting time .
can t you stay with us a little ?,i am busy inside .
i ll be back in hours .,have fun .
the happy hunting ground . who cares ?,are you a spirit too ?
yes ?,we want to see mrs . karras .
try an angel .,an angel ?
yes sir . i do sir .,well ?
i ought to know .,what is it ?
some everyone does .,yes but does everyone kill bambi ?
please .,you did !
so ?,and anyway he s seen our faces .
yeah .,danny come on over here .
forget it .,excuse me ?
no i m going .,mm hm .
why don t you say hello ?,annabelle pick up the phone .
i cannot get rid of you .,no you can t .
luggage ? yes . yes . i do .,where is it ?
then shut up .,my place .
you re not going after argon !,i have to !
go sit next to him .,who ?
nowt .,good lad .
wow . that must ve taken some courage .,not if you remember my dad .
not to you . not to bill .,isn t that what they always say ?
i ll just tell my wife .,tell her later .
and sid says you stole it !,but buzz 
how am i being shitty ?,don t be shitty .
so you killed him ?,i . . .
you . . .,i m sorry ?
where ?,times square .
how do you know this . . . ?, . . . simple logic .
how about inviting me over to dinner ?,you know what i mean .
sidney is a liar !,who said sidney ?
this was not my idea .,what ?
ow ! watch where you re going !,sorry .
burke them ?,you are lately come to scotland joseph ?
okay all right . double bourbon quick huh ?,okay . what s yours ?
we are better here .,listen you need me .
ginger called me .,yeah .
welcome back .,f f fuck you .
much happier .,all right .
can i get you anything else ?,no . how much do i owe you ?
 think i should buy some originals ?, . . .do i ?
is that bad ? . . .,i think he s having an affair .
which is ,in the van .
you could have called me yourself .,but i wasn t sure you d come .
nothing .,don t look like nothing .
give me a ride ?,sure .
annie ,what ?
but this is public property .,exactly .
dignan . take it easy .,bob !
see i told you !,well what the hell does that mean ?
hildy !,huh !
put your hand in my pants .,what ?
sucks for you .,who s your partner ?
they re harry s .,that s the reason .
only what ?,only it s in italian . . .
then why did you run away ?,because you ran after me .
right .,well i m fully covered .
 we sure are ., . . .you gonna kill me ?
just want to talk to him a second .,he s dangerous .
no . i d have liked to .,why ?
ah . ah . ah . . .,i hurt you ?
who ?,my father and the baron .
you got your room straightened out yet ?,it s getting there .
no .,that s good .
oh well they re different .,that s not an answer .
oh hi .,where s rob ?
mom . . .,i know .
no thank you sir we re fine .,so mark what s so urgent ?
i can t do it .,you positive about that ?
you are ?,yeah .
yes .,and you promise to abide by it ?
well i ll be goddamned i knew it .,like hell you did .
then let s go . now !,i haven t finished my drink .
zira doesn t want your female .,i want her .
any particular reason ?,just a feeling . nothing personal .
merrick . . ., say mmmerrick . 
she s still a transvestite .,mm .
who are these guys ?,agents who died in the field .
just now . . .,yes .
yes you do you damn well do .,okay .
mmm . well good luck miss daniels .,thank you .
i ll check with eve . . .,what ?
yes sir .,lock it and keep it locked .
reggie trust me once more please .,can i really believe you this time adam ?
was going . now you are .,me ?
oh . yeah i guess i do .,has anyone else every used your phone ?
most people say the odds are against me .,what odds ?
ok ok . . .,sell em if you can t smoke them .
i said i got his machine .,no what did you say on the machine ?
but hildy i can explain ,you you ! !
who me ? why should it ?,that s what i thought .
what did you say ?,i d think about it .
i don t feel anything .,come on it s graduation .
no . you re right .,show must go on .
